"date","value"
[2010-12-24,3.510204081632653]
[2010-12-25,3.9212121212121214]
[2010-12-26,4.048275862068966]
[2010-12-27,3.0419161676646707]
[2010-12-28,3.9107142857142856]
[2010-12-29,3.302469135802469]
[2010-12-30,3.425287356321839]
[2010-12-31,3.402439024390244]
[2011-01-01,3.4611111111111112]
[2011-01-02,3.260115606936416]
[2011-01-03,7.2578616352201255]
[2011-01-04,6.840579710144928]
[2011-01-05,8.402597402597403]
[2011-01-06,5.295774647887324]
[2011-01-07,5.9573170731707314]
[2011-01-08,8.202380952380953]
[2011-01-09,7.49375]
[2011-01-10,7.848837209302325]
[2011-01-11,8.036363636363637]
[2011-01-12,7.030120481927711]
[2011-01-13,6.845744680851064]
[2011-01-14,7.124293785310734]
[2011-01-15,6.263803680981595]
[2011-01-16,5.488505747126437]
[2011-01-17,4.50828729281768]
[2011-01-18,5.965034965034965]
[2011-01-19,5.378698224852071]
[2011-01-20,4.967741935483871]
[2011-01-21,6.629411764705883]
[2011-01-22,8.627218934911243]
[2011-01-23,6.232142857142857]
[2011-01-24,7.263736263736264]
[2011-01-25,5.824675324675325]
[2011-01-26,5.336842105263158]
[2011-01-27,5.316770186335404]
[2011-01-28,6.775]
[2011-01-29,8.352564102564102]
[2011-01-30,16.63225806451613]
[2011-01-31,8.32748538011696]
[2011-02-01,6.091463414634147]
[2011-02-02,5.7924528301886795]
[2011-02-03,4.888198757763975]
[2011-02-04,4.953367875647668]
[2011-02-05,4.65]
[2011-02-06,5.170454545454546]
[2011-02-07,4.354679802955665]
[2011-02-08,5.041916167664671]
[2011-02-09,6.37696335078534]
[2011-02-10,10.631016042780749]
[2011-02-11,12.819148936170214]
[2011-02-12,9.614213197969542]
[2011-02-13,9.035714285714286]
[2011-02-14,10.355329949238579]
[2011-02-15,10.026905829596412]
[2011-02-16,9.137777777777778]
[2011-02-17,9.549356223175966]
[2011-02-18,9.691244239631336]
[2011-02-19,9.889570552147239]
[2011-02-20,9.628140703517587]
[2011-02-21,10.26595744680851]
[2011-02-22,10.488372093023257]
[2011-02-23,9.2625]
[2011-02-24,10.130434782608695]
[2011-02-25,9.143497757847534]
[2011-02-26,7.236363636363636]
[2011-02-27,9.149193548387096]
[2011-02-28,11.487012987012987]
[2011-03-01,15.284615384615385]
[2011-03-02,16.01840490797546]
[2011-03-03,17.49738219895288]
[2011-03-04,9.057142857142857]
[2011-03-05,7.4071428571428575]
[2011-03-06,7.333333333333333]
[2011-03-07,8.881818181818181]
[2011-03-08,13.054347826086957]
[2011-03-09,11.754716981132075]
[2011-03-10,14.176991150442477]
[2011-03-11,14.969924812030076]
[2011-03-12,21.280575539568346]
[2011-03-13,23.11864406779661]
[2011-03-14,23.4070796460177]
[2011-03-15,26.4811320754717]
[2011-03-16,22.514705882352942]
[2011-03-17,23.422535211267604]
[2011-03-18,20.943089430894307]
[2011-03-19,27.99122807017544]
[2011-03-20,28.119402985074625]
